Financing of the RUA 		 financing of the RUA 		 Score: 1.0000
When will we see a real project for a reasonable minimum wage? 		 Single Minimum Income RMU 		 Score: 0.2887
And how to manage the third party payment when the APL (or AL) is requested by the landlord? 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2887
Suspend or cancel the RSA for people who commit or whose dependent children commit damage to public or private property 		 Donate 1000 euros to anyone over 18 years old 		 Score: 0.2887
Rights and duties 		 Universal income means for everyone. 		 Score: 0.2886
Universal individual monthly wage 		 A tax-free UK! 		 Score: 0.2886
merger of all social benefits 		 How to redistribute in solidarity 		 Score: 0.2886
Exclude disability from the scope of the RUA 		 Take into account not only income but also assets 		 Score: 0.2886
It must take everything into account 		 Take into account not only income but also assets 		 Score: 0.2886
Households with more than 3 ineligible children 		 Why not solidarity vouchers? 		 Score: 0.2886
Technology tax (robot) 		 Financing the universal income by taxing stock market transactions and dividends 		 Score: 0.2886
RUA what about SSA and retirement quarter? 		 Financing part of the RUA via an AIRBNB tax 		 Score: 0.2886
Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Question not applicable because AAH beneficiaries should not be included in the RUA 		 Score: 0.2886
Criteria to benefit from the RUA 		 To be taken into account 		 Score: 0.2886
equality of the republic, that the richest share with the poorest 		 A social RUA 		 Score: 0.2885
Family allowances from the 1st child 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2885
U.A.R. funding 		 Rua for people below the poverty line 		 Score: 0.2885
TAKING INTO ACCOUNT THE SPECIFIC ALLOWANCES OF THE CITY OF PARIS 		 Be an emancipated French citizen (no longer dependent) 		 Score: 0.2885
Allocation through tax return 		 A careful study of the living conditions for the payment of this income 		 Score: 0.2885
A 0.5% increase in VAT could finance this solidarity effort. 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2885
Giving time to society 		 funding 		 Score: 0.2885
BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 With more financial means because it will have losers 		 Score: 0.2885
Family allowances from the 1st child 		 Universal income means for everyone. 		 Score: 0.2885
Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 Financing the Universal Activity Income through national solidarity 		 Score: 0.2885
Equity 		 the beneficiaries will be able to be helped financially but also administratively to open a micro enterprise 		 Score: 0.2885
Only means-tested 		 No conditions to benefit from it 		 Score: 0.2885
Obligation to perform a public interest mission in return 		 Also finance real support for beneficiaries 		 Score: 0.2885
No means test if it is to be universal. 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.2885
Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Take into account the income of the entire household 		 Score: 0.2885
the risks 		 More control 		 Score: 0.2885
against 		 operation 		 Score: 0.2884
individualize aid 		 Social redistribution annuity 		 Score: 0.2884
An automated payment 		 U.A.R. funding 		 Score: 0.2884
creative financing 		 CONTRIBUTING: the ONLY REAL WAY OUT 		 Score: 0.2884
creative financing 		 CONTRIBUTING: the ONLY REAL WAY OUT 		 Score: 0.2884
A fair distribution, without discouraging counter-measures 		 REDISTRIBUTION SOCIAL AND FISCAL JUSTICE. 		 Score: 0.2884
No Conditions 		 Poverty, health problems, handicaps, precariousness... 		 Score: 0.2884
Limited RUA amount 		 A minimum income from age 18 to 62 		 Score: 0.2884
Introduction of a social VAT combined with a reduction in payroll taxes 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2884
Census and approach 		 Consideration of family situation 		 Score: 0.2884
should continue to be paid on a means-tested basis 		 UNIVERSAL INCOME (good idea or gas factory?) 		 Score: 0.2883
Equity 		 A truly universal income... 		 Score: 0.2883
It must take everything into account 		 Think also of the savings to be made in order to really help those who need it 		 Score: 0.2883
Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 Donate 1000 euros to anyone over 18 years old 		 Score: 0.2883
BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 A truly universal income... 		 Score: 0.2883
Taxing financial transactions 		 Universality Taking into account income and work periods 		 Score: 0.2883
No conditions, just the fact of existing. 		 conditions for the universal activity income 		 Score: 0.2883
A social RUA 		 A compensatory Universal Activity Income 		 Score: 0.2883
FINANCING 		 decent income 		 Score: 0.2883
Financing 		 decent income 		 Score: 0.2883
Financing 		 decent income 		 Score: 0.2883
The UAH is indexed to the municipal/inter-municipal poverty line and inflation 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.2883
Savings on operation 		 Obligation to perform a public interest mission in return 		 Score: 0.2883
What do the apl and the aah have to do with the rua? 		 RU accumulation of seniority and dependent child 		 Score: 0.2883
RUA for the autonomy of young people 		 Consideration of family situation 		 Score: 0.2882
Taking into account disability and dependent children 		 Single parent (m or f) 		 Score: 0.2882
A RUA focused on the individual's journey rather than the household 		 Rewarding virtue 		 Score: 0.2882
Taxes on robots, gaffes... 		 just on income 		 Score: 0.2882
The DNA bank a bank that insures on the life of humanity 		 Universal Credit in the UK 		 Score: 0.2882
A social RUA 		 Poverty, health problems, handicaps, precariousness... 		 Score: 0.2882
BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 Take into account the (often non-existent) income of young people and students 		 Score: 0.2882
A "Citizen's VOICE Income" (VOICE / "Dream too"!) FOR EVERYBODY, rather than the RUA: implementation modalities, to reinvent/(re)enchant Work, our Society and our lives... 		 Permanent exclusion from the rua 		 Score: 0.2882
Family solidarity before national solidarity 		 Take into account the income and situation of the household 		 Score: 0.2882
If unemployed after age 55 		 Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Score: 0.2881
And why not two versions of the RUA ? one RU and one RUA 		 DO VOLUNTEER HOURS IN ASSOCIATIONS IN EXCHANGE FOR THE RUA 		 Score: 0.2881
Universal 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.2881
Salary slip 		 INCOME MUST BE INDIVIDUAL AND INDIVIDUALIZED 		 Score: 0.2881
Taxing corporate profits 		 Continue to take into account actual costs 		 Score: 0.2881
REUNITE 		 apply the obligation of maintenance and recovery from inheritance to all social assistance 		 Score: 0.2881
Take into account the amounts of the rent or mortgage 		 Also finance real support for beneficiaries 		 Score: 0.2881
OF WORK IN RETURN 		 Rights and duties 		 Score: 0.2881
Possibility of management by private funds in addition to the state. 		 Not just income, household expenses too... 		 Score: 0.2881
Rights ok, but duties too 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.2881
Levy a tax on machines 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.2881
Exclude disability from the scope of the RUA 		 Minimum income for all without distinction 		 Score: 0.2880
To be taken into account 		 Take into account all assets and income (individual or household depending on valuation) and all expenses and obligations 		 Score: 0.2880
there are no conditions to be met in order to benefit from the RUA 		 Avoiding poverty and inflation. 		 Score: 0.2880
Robots at work, proles at the bar 		 Full automation and no activity 		 Score: 0.2880
You said universal! 		 Universal Stock Exchange Contribution 		 Score: 0.2880
In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 Self-employed: a monthly calculation 		 Score: 0.2880
Family allowances from the 1st child 		 per capita income 		 Score: 0.2880
A RUA focused on the individual's journey rather than the household 		 Reintegration 		 Score: 0.2880
Be an emancipated French citizen (no longer dependent) 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.2880
All equal so same financial aid 		 Expenses 		 Score: 0.2880
like the MPs, you have to manage yourself 		 Agreed, but except for the case of disabled people (AAH, other allowances and aid for disabled people) and APL 		 Score: 0.2880
Question not applicable because AAH beneficiaries should not be included in the RUA 		 infringement of the rights of the families of persons with disabilities 		 Score: 0.2879
Aid in return for work 		 Not just income, household expenses too... 		 Score: 0.2879
BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 Universal income means for everyone. 		 Score: 0.2879
RUA compatible with unemployment benefits 		 There should be no conditions for universal income, other than age (and still...). 		 Score: 0.2879
Be careful to take all situations into account 		 Concerns for the RUA 		 Score: 0.2879
Take into account the cost of housing 		 apply to (and increase the number of) social workers 		 Score: 0.2879
Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 combine rights with duties 		 Score: 0.2879
How to apply for the rua during the universal national service 		 A truly universal income... 		 Score: 0.2879
Variable depending on rent and transportation costs. 		 A Universal Activity Income to compensate for a lack of income 		 Score: 0.2879
Possibility of management by private funds in addition to the state. 		 From birth, to be declared on the civil registers and automatic payment 		 Score: 0.2879
Financing of the RUA 		 Conditions - 1400 euros net Universal Minimum Income 		 Score: 0.2879
financing of the RUA 		 Conditions - 1400 euros net Universal Minimum Income 		 Score: 0.2879
You said universal! 		 Make it simple! 		 Score: 0.2878
Progressive Inheritance Tax 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2878
Make it conditional on professional, social or health integration 		 Universality Taking into account income and work periods 		 Score: 0.2878
Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2878
Self-employed: a monthly calculation 		 Lifetime wages without ruining the state (but that the bosses won't like) 		 Score: 0.2878
No exclusionary incompatibilities for students 		 No conditions to benefit from it 		 Score: 0.2878
Crime 		 for financing 		 Score: 0.2878
save money by eliminating undue benefits 		 By the tax paid by all 		 Score: 0.2878
CONTRIBUTING: the ONLY REAL WAY OUT 		 Think also of the savings to be made in order to really help those who need it 		 Score: 0.2878
RUA compatible with unemployment benefits 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2878
The rua should not include all the aids 		 Family composition, income from work, rent due : The RUA would be calculated according to several criteria 		 Score: 0.2878
Criteria to benefit from the RUA 		 Take into account all assets and income (individual or household depending on valuation) and all expenses and obligations 		 Score: 0.2878
An evaluation by a social worker (half on a grid, half human) and multi-disciplinary support 		 Dignity through work 		 Score: 0.2877
AAH 		 not 		 Score: 0.2877
AAH 		 not 		 Score: 0.2877
not 		 Aah 		 Score: 0.2877
Take into account specific problems 		 Poverty, health problems, handicaps, precariousness... 		 Score: 0.2877
Allocation through tax return 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2877
Criteria to benefit from the RUA 		 Take into account the diversity of the realities and social difficulties of the recipients 		 Score: 0.2877
should continue to be paid on a means-tested basis 		 Only means-tested 		 Score: 0.2877
should continue to be paid on a means-tested basis 		 Income 		 Score: 0.2877
should continue to be paid on a means-tested basis 		 Income 		 Score: 0.2877
Control of rights 		 Operation RU 		 Score: 0.2877
Housing subsidies and aah. 		 decent income 		 Score: 0.2877
Donate 1000 euros to anyone over 18 years old 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.2877
apply to (and increase the number of) social workers 		 INCOME MUST BE INDIVIDUAL AND INDIVIDUALIZED 		 Score: 0.2877
Do not recover the RUA from the estate, even if the ASPA is included 		 By the tax paid by all 		 Score: 0.2876
REUNITE 		 Refocusing social support on nationals only 		 Score: 0.2876
Housing subsidies and aah. 		 universal income calculation 		 Score: 0.2876
increase in employers' contributions, end of the reduction in charges 		 Introduction of a social VAT combined with a reduction in payroll taxes 		 Score: 0.2876
No additional taxes 		 Financing by levies on large assets and increased VAT on luxury goods 		 Score: 0.2876
TAKING INTO ACCOUNT THE SPECIFIC ALLOWANCES OF THE CITY OF PARIS 		 A truly universal income... 		 Score: 0.2876
NO to the merger of the AAH with the RUA 		 RU accumulation of seniority and dependent child 		 Score: 0.2876
Giving time to society 		 The human condition should be enough 		 Score: 0.2876
Taxes on robots, gaffes... 		 Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Score: 0.2876
Permanent exclusion from the rua 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.2876
terms and conditions 		 simplification 		 Score: 0.2876
Terms and conditions 		 simplification 		 Score: 0.2876
simplification 		 terms and conditions 		 Score: 0.2876
simplification 		 terms and conditions 		 Score: 0.2876
Avoiding threshold effects 		 BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 Score: 0.2875
Poverty, health problems, handicaps, precariousness... 		 Why not solidarity vouchers? 		 Score: 0.2875
How to apply for the rua during the universal national service 		 A compensatory Universal Activity Income 		 Score: 0.2875
EMPLOYMENT OF STAFF RECEIVING RSA 		 For a new economic system based on the right to exist, not on the need to have a job 		 Score: 0.2875
Obligation to perform a public interest mission in return 		 Social redistribution annuity 		 Score: 0.2875
RUA compatible with unemployment benefits 		 why is it shameful or offensive to ask for something in return for a RUA??? 		 Score: 0.2875
To be taken into account 		 A RUA focused on the individual's journey rather than the household 		 Score: 0.2874
Households with more than 3 ineligible children 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.2874
the beneficiaries will be able to be helped financially but also administratively to open a micro enterprise 		 Universal income 		 Score: 0.2874
RSA funding 		 Single Minimum Income RMU 		 Score: 0.2874
The people for the people 		 Make everyone aware of their rights more effectively and respect the choices they make 		 Score: 0.2874
Resource requirements 		 have a low income 		 Score: 0.2874
A "Citizen's VOICE Income" (VOICE / "Dream too"!) FOR EVERYBODY, rather than the RUA: implementation modalities, to reinvent/(re)enchant Work, our Society and our lives... 		 Take into account the (often non-existent) income of young people and students 		 Score: 0.2874
Equity of the produced wealth and redistribution, problems and mechanism of poverty 		 the Housing Allowance (APL) is not an activity income 		 Score: 0.2874
Get out of the 5/95 rule, i.e. 5% of the population living high 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.2874
Restore coherence to all compulsory levies. 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2873
State financing and not by local authorities 		 INCOME MUST BE INDIVIDUAL AND INDIVIDUALIZED 		 Score: 0.2873
national solidarity + tax on financial transactions of investment banks 		 Financing the RUA with ACS CMU-C aid 		 Score: 0.2873
Restore coherence to all compulsory levies. 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2873
Taking into account disability and dependent children 		 Social redistribution annuity 		 Score: 0.2873
A social RUA 		 apply to (and increase the number of) social workers 		 Score: 0.2873
deterioration of social assistance 		 Avoiding poverty and inflation. 		 Score: 0.2873
No to the integration of the aspa and the aah! 		 And how to manage the third party payment when the APL (or AL) is requested by the landlord? 		 Score: 0.2873
Automatic allocation 		 operation 		 Score: 0.2873
Take into account the amounts of the rent or mortgage 		 Make dividend payments conditional on salary improvements 		 Score: 0.2873
Love of work 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.2873
the conditions to be met 		 A social RUA 		 Score: 0.2873
creative financing 		 take into account the money in the bank accounts 		 Score: 0.2873
creative financing 		 take into account the money in the bank accounts 		 Score: 0.2873
Take into account the cost of housing 		 A compensatory Universal Activity Income 		 Score: 0.2873
Family allowances from the 1st child 		 Agreed, but except for the case of disabled people (AAH, other allowances and aid for disabled people) and APL 		 Score: 0.2873
CONTRIBUTING: the ONLY REAL WAY OUT 		 It must take everything into account 		 Score: 0.2873
U.A.R. funding 		 Redistribution 		 Score: 0.2872
Self-employed: a monthly calculation 		 A Universal Income for all citizens 		 Score: 0.2872
Recovering aid from an estate 		 Financing the Universal Activity Income through national solidarity 		 Score: 0.2872
Participation fee 		 A compensatory Universal Activity Income 		 Score: 0.2872
Universal shield 		 Universal income 		 Score: 0.2872
Salary slip 		 Social redistribution annuity 		 Score: 0.2872
Allow each person to choose a career path over several years 		 a decent minimum for job seekers and pensioners 		 Score: 0.2872
State funding to let departments and cities provide exceptional aid 		 apply to (and increase the number of) social workers 		 Score: 0.2872
Base taxes on curves, mathematical functions and remove brackets. 		 Minimum income for all without distinction 		 Score: 0.2872
RSA funding 		 Take into account not only income but also assets 		 Score: 0.2872
the symptom and not the cause 		 Poverty, health problems, handicaps, precariousness... 		 Score: 0.2871
Income tax return 		 conditions for the universal activity income 		 Score: 0.2871
Ensuring a meaningful difference with the work 		 To all persons undergoing an unwanted change of situation 		 Score: 0.2871
A central file for a fluid bureaucracy 		 Universality and Funding 		 Score: 0.2871
Universal individual monthly wage 		 decent income 		 Score: 0.2871
The people for the people 		 Crime 		 Score: 0.2871
Dependent child 		 No exclusionary incompatibilities for students 		 Score: 0.2871
Take nothing into account 		 Continue to take into account actual costs 		 Score: 0.2871
Be 18 years old 		 UK 		 Score: 0.2871
FUSION 		 all in the same boat 		 Score: 0.2871
Making tax havens aware of National Solidarity 		 Set a decent minimum income. 		 Score: 0.2871
national solidarity + tax on financial transactions of investment banks 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.2871
In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 have a low income 		 Score: 0.2870
National solidarity AND company tax 		 Restore coherence to all compulsory levies. 		 Score: 0.2870
Universal individual monthly wage 		 For a new economic system based on the right to exist, not on the need to have a job 		 Score: 0.2870
Full automation and no activity 		 universal activity income except apl 		 Score: 0.2870
A 0.5% increase in VAT could finance this solidarity effort. 		 universal income calculation 		 Score: 0.2870
Universal 		 The people for the people 		 Score: 0.2870
Exclude disability from the scope of the RUA 		 Do not include the aah in the universal income 		 Score: 0.2870
Recognizing volunteer investment in public interest organizations 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2870
Being French since it is a non-insurance benefit 		 A compensatory Universal Activity Income 		 Score: 0.2870
Being French since it is a non-insurance benefit 		 Single Window of Social Benefits ( GUPS ) 		 Score: 0.2870
Do not take into account movable assets 		 INCOME MUST BE INDIVIDUAL AND INDIVIDUALIZED 		 Score: 0.2869
Only considered the absolute poverty line 		 No conditions to benefit from it 		 Score: 0.2869
RUA compatible with unemployment benefits 		 universal activity income except apl 		 Score: 0.2869
Robots or robotic machines are already replacing employees in many companies... 		 Lifetime wages without ruining the state (but that the bosses won't like) 		 Score: 0.2869
merger of all social benefits 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2869
Estate recovery 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2869
Control of rights 		 like the MPs, you have to manage yourself 		 Score: 0.2869
merger of all social benefits 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.2869
Progressive Inheritance Tax 		 A careful study of the living conditions for the payment of this income 		 Score: 0.2868
Universal individual monthly wage 		 Variable depending on rent and transportation costs. 		 Score: 0.2868
the beneficiaries will be able to be helped financially but also administratively to open a micro enterprise 		 A compensatory Universal Activity Income 		 Score: 0.2868
Be 18 years old 		 Take into account the (often non-existent) income of young people and students 		 Score: 0.2868
Progressive Inheritance Tax 		 Development income 		 Score: 0.2868
To be combined with the needs 		 according to the resources of each entity, separately: couple, child, single person 		 Score: 0.2868
Participation fee 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.2868
Land law 		 the conditions 		 Score: 0.2868
activity = work 		 Work of convicted persons 		 Score: 0.2868
Single parent (m or f) 		 One income, one job 		 Score: 0.2868
Being French since it is a non-insurance benefit 		 Basic Income 		 Score: 0.2868
Universal individual monthly wage 		 TAKE INTO ACCOUNT THE CONSTITUTION OF THE HOUSEHOLD AND ALL RESOURCES AND ASSETS 		 Score: 0.2868
FUSION 		 Operation RU 		 Score: 0.2868
only condition = French citizen 		 A Universal Income for all citizens 		 Score: 0.2868
equality of the republic, that the richest share with the poorest 		 Not just income, household expenses too... 		 Score: 0.2867
Income tax return 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.2867
the conditions to be met 		 conditions for the universal activity income 		 Score: 0.2867
A 0.5% increase in VAT could finance this solidarity effort. 		 Also finance real support for beneficiaries 		 Score: 0.2867
Lifetime wages without ruining the state (but that the bosses won't like) 		 Household income 		 Score: 0.2867
For all = simplification 		 operation 		 Score: 0.2867
Rights and duties 		 Levy a tax on machines 		 Score: 0.2866
single disabled persons 		 Set a decent minimum income. 		 Score: 0.2866
apply to (and increase the number of) social workers 		 moving towards a universal income 		 Score: 0.2866
Households with more than 3 ineligible children 		 Universality Taking into account income and work periods 		 Score: 0.2866
Consider only the personal circumstances of the applicant 		 From birth, to be declared on the civil registers and automatic payment 		 Score: 0.2866
Why do employers continue to receive aid with our tax money without any compensation? 		 Housing subsidies and aah. 		 Score: 0.2866
Age 		 against 		 Score: 0.2866
VAT 		 Technology tax (robot) 		 Score: 0.2866
Take into account the amounts of the rent or mortgage 		 decent income 		 Score: 0.2866
duty of care 		 VAT 		 Score: 0.2866
Age 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2866
DO VOLUNTEER HOURS IN ASSOCIATIONS IN EXCHANGE FOR THE RUA 		 apply the obligation of maintenance and recovery from inheritance to all social assistance 		 Score: 0.2866
should continue to be paid on a means-tested basis 		 Universal income even without activity 		 Score: 0.2866
How to redistribute in solidarity 		 Avoiding poverty and inflation. 		 Score: 0.2866
Borrowing the first year, the money will automatically return to the state coffers in the following years as it is reinjected into the economy through the daily expenses of the French (VAT, fuel taxes, taxes, etc.) 		 TAKE INTO ACCOUNT THE CONSTITUTION OF THE HOUSEHOLD AND ALL RESOURCES AND ASSETS 		 Score: 0.2866
Consider only the personal circumstances of the applicant 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2866
creative financing 		 Do not consider small savings as resources 		 Score: 0.2866
creative financing 		 Do not consider small savings as resources 		 Score: 0.2866
single disabled persons 		 Financing the Universal Activity Income through national solidarity 		 Score: 0.2865
the risks 		 duty of care 		 Score: 0.2865
Make it conditional on professional, social or health integration 		 There should be no conditions for universal income, other than age (and still...). 		 Score: 0.2865
Increase the amounts according to the distance from the training centres 		 Taking resources into account 		 Score: 0.2865
Ask the Ministry of Finance 		 per capita income 		 Score: 0.2865
NO to the merger of the AAH with the RUA 		 stop not touching my aah 		 Score: 0.2865
OF WORK IN RETURN 		 Reintegration 		 Score: 0.2865
Fight against tax evasion and stop tax giveaways (CICE) etc 		 Set a decent minimum income. 		 Score: 0.2865
Considering treatment failures for AHA 		 Taking into account disability and dependent children 		 Score: 0.2865
Single Window of Social Benefits ( GUPS ) 		 One income, one job 		 Score: 0.2865
The Company pays 		 Take into account the income of the entire household 		 Score: 0.2865
The Company pays 		 Take into account the income of the entire household 		 Score: 0.2865
The Company pays 		 Take into account the income of the entire household 		 Score: 0.2865
The Company pays 		 Take into account the income of the entire household 		 Score: 0.2865
deterioration of social assistance 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2865
credited with the aid managed by the post office ... 		 By the tax paid by all 		 Score: 0.2865
No strings attached as it will replace all social benefits... 		 As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Score: 0.2865
Introduction of a social VAT combined with a reduction in payroll taxes 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2865
Equity 		 An amount for everyone 		 Score: 0.2864
Participation fee 		 Fighting against non-use is interesting provided it is financed 		 Score: 0.2864
Avoiding duplication 		 No exclusionary incompatibilities for students 		 Score: 0.2864
No conditions to benefit from it 		 funding 		 Score: 0.2864
Progressive Inheritance Tax 		 From birth, to be declared on the civil registers and automatic payment 		 Score: 0.2864
Avoiding duplication 		 TO ALL BUT WITH CONDITIONS AND TO BE CHECKED TOGETHER 		 Score: 0.2864
Rights ok, but duties too 		 Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Score: 0.2864
take into account the money in the bank accounts 		 An amount for everyone 		 Score: 0.2864
the conditions 		 Conditions - 1400 euros net Universal Minimum Income 		 Score: 0.2864
Savings on operation 		 Integrate AUTOMATICITY into the allocation process 		 Score: 0.2864
The human condition should be enough 		 Take into account the income and situation of the household 		 Score: 0.2864
Work of convicted persons 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2864
State financing and not by local authorities 		 Expenses 		 Score: 0.2863
Only considered the absolute poverty line 		 Housing subsidies and aah. 		 Score: 0.2863
The DNA bank a bank that insures on the life of humanity 		 From birth, to be declared on the civil registers and automatic payment 		 Score: 0.2863
Reintegration 		 Avoiding poverty and inflation. 		 Score: 0.2863
Recoverable from the estate 		 Take into account not only income but also assets 		 Score: 0.2863
Do not take into account movable assets 		 Take into account the income of the entire household 		 Score: 0.2863
Do not take into account movable assets 		 Take into account the income of the entire household 		 Score: 0.2863
Do not take into account movable assets 		 Take into account the income of the entire household 		 Score: 0.2863
Do not take into account movable assets 		 Take into account the income of the entire household 		 Score: 0.2863
individualize aid 		 Perverse effect of tax funding? 		 Score: 0.2862
apply to (and increase the number of) social workers 		 National solidarity that includes capital income 		 Score: 0.2862
Operation by points by grouping together all the criteria of the existing aids 		 The rua should not include all the aids 		 Score: 0.2862
Census and approach 		 Take into account the (often non-existent) income of young people and students 		 Score: 0.2862
Taking into account disability and dependent children 		 supporting evidence of low income 		 Score: 0.2862
CONTRIBUTING: the ONLY REAL WAY OUT 		 A social RUA 		 Score: 0.2862
Under what conditions 		 Resource requirements 		 Score: 0.2862
To all persons undergoing an unwanted change of situation 		 Recognizing precariousness 		 Score: 0.2862
Recognizing volunteer investment in public interest organizations 		 Making tax havens aware of National Solidarity 		 Score: 0.2862
RSA funding 		 apply to (and increase the number of) social workers 		 Score: 0.2862
The Company pays 		 universal income calculation 		 Score: 0.2862
Take into account the cost of housing 		 Universal Income for ALL 		 Score: 0.2861
Take into account the cost of housing 		 Universal income for all 		 Score: 0.2861
Long-term forecast of the RUA 		 Do not recover the RUA from the estate, even if the ASPA is included 		 Score: 0.2861
THAT THE AMOUNT IS HIGHER THAN THE RSA 		 It must take everything into account 		 Score: 0.2861
Amount 		 Simple and guaranteed e.g. 600 per adult, 300 per child, for all regardless of income. 		 Score: 0.2861
Progressive Inheritance Tax 		 conditions for the universal activity income 		 Score: 0.2861
only condition = French citizen 		 All persons below a certain threshold. 		 Score: 0.2861
to all since it will be universal without conditions .... 		 Universal income even without activity 		 Score: 0.2861
Take into account the diversity of the realities and social difficulties of the recipients 		 Only considered the absolute poverty line 		 Score: 0.2861
Introduction of a social VAT combined with a reduction in payroll taxes 		 Think also of the savings to be made in order to really help those who need it 		 Score: 0.2861
counterpart 		 the conditions 		 Score: 0.2860
Only considered the absolute poverty line 		 Take into account not only income but also assets 		 Score: 0.2860
Rewarding virtue 		 CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 Score: 0.2860
Take into account the cost of housing 		 Financing by levies on large assets and increased VAT on luxury goods 		 Score: 0.2860
Savings on operation 		 A compensatory Universal Activity Income 		 Score: 0.2860
Limited RUA amount 		 per capita income 		 Score: 0.2860
Equity 		 Basic Income 		 Score: 0.2860
Increase the amounts according to the distance from the training centres 		 Automatic allocation 		 Score: 0.2860
Savings on operation 		 Ensuring a meaningful difference with the work 		 Score: 0.2860
Salary slip 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2860
EMPLOYMENT OF STAFF RECEIVING RSA 		 Universality Taking into account income and work periods 		 Score: 0.2860
1 EURO TAX ON TECHNOLOGY 		 Social redistribution annuity 		 Score: 0.2860
National solidarity AND company tax 		 Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Score: 0.2860
single disabled persons 		 Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 Score: 0.2860
Taxing corporate profits 		 Lifetime wages without ruining the state (but that the bosses won't like) 		 Score: 0.2860
Being French since it is a non-insurance benefit 		 Take into account the person's income 		 Score: 0.2860
Base taxes on curves, mathematical functions and remove brackets. 		 Universal individual monthly wage 		 Score: 0.2859
Universal 		 Financing the universal income by taxing stock market transactions and dividends 		 Score: 0.2859
Take into account the cost of housing 		 conditions for the universal activity income 		 Score: 0.2859
Salary slip 		 that Universal Income be taxable 		 Score: 0.2859
Simplification and merging of different aids 		 Merging the different layers of the community. 		 Score: 0.2859
individualize aid 		 for financing 		 Score: 0.2859
