revenu universel pour tous 		 revenu universel pour tous 		 Score: 1.0000
inclure les étudiants 		 Justifier d'un besoin et d'une capacité à recevoir le RUA 		 Score: 0.4708
revenu universel de solidarité et non pas d'activité ! 		 2 catégories de RU : les non employables et les employables 		 Score: 0.4708
Pour les parents instructeurs 		 A Tous dès la naissance et toute la vie 		 Score: 0.4708
Prime temporaire 		 "Un vrais ""Revenu Universle"" pour TOUS, modulaire et sous conditions" 		 Score: 0.4708
AU PARENT ISOLE 		 Les aidants 		 Score: 0.4708
Pour chaque être humain, quelque soit l'âge, la nationalité. 		 A tous les CITOYENS 		 Score: 0.4708
Sauf handicapés 		 A toute personne pour aider à atteindre un revenu décent 		 Score: 0.4708
question 		 pour tous mais sous conditions 		 Score: 0.4707
pas AAH 		 A qui s adresse le rua 		 Score: 0.4707
A tout les français sans distinction 		 Un « REvenu de VOcation CItoyens » (REVOCI / « Rêve aussi » !...) POUR TOU-TE-S,  plutôt que le RUA,  pour réinventer/(ré)enchanter le Travail, notre Société et nos vies... 		 Score: 0.4707
A tout le monde dès la naissance 		 A tous les bénéficiaires potentiels sans exception 		 Score: 0.4707
A tout le monde sauf au personne handicapées 		 UNIVERSEL c'est pour tous 		 Score: 0.4707
Pour tous, à partir de la majorité. 		 a qui le revenu universel d'activité devra t il s'adresser ? 		 Score: 0.4707
L'AAH n'est pas un un minimum social comme les autres 		 RUA Personnes agées 		 Score: 0.4707
Égalité des droits lors de Garde Alternée des enfants 		 RUA pour tous sans conditions 		 Score: 0.4707
Une autre vision du revenu d'activité 		 ressources 		 Score: 0.4707
pas AAH 		 À tous 		 Score: 0.4707
pas AAH 		 À tous 		 Score: 0.4707
Prime temporaire 		 Pour tous individuellement, imposé 		 Score: 0.4707
Chaque personne en situation de fragilité sociale et économique, dès 18 ans 		 personne en situation de handicap 		 Score: 0.4706
Un revenu universel proche du SMIC 		 Les personnes âgées en situation de pauvreté 		 Score: 0.4706
le quart le plus pauvre des plus de 16 ans, tout simplement 		 Aux travailleurs et à ceux qui sont dans l'incapacité de travailler 		 Score: 0.4706
Mères isolées et familles nombreuses 		 A tous, dès que la personne n'atteint pas un revenu suffisant pour vivre dignement 		 Score: 0.4706
obligation pour le bénéficiaire de vivre en france et de vouloir y rester 		 Un revenu qui s'adapte aux allocataires 		 Score: 0.4706
+ le 2eme parent 		 qui est concerné ? 		 Score: 0.4706
Ne pas laisser de côté les publics fragiles 		 A toustes 		 Score: 0.4705
Ancien bénéficiaires de la prime à l 'emploi 		 Créer un revenu pour que chaque être humain puisse vivre dignement 		 Score: 0.4705
Les personnes bénéficiaires de L'AAH ne devraient pas être concernées 		 Non à la révision intempestive des taux d'incapacité (MDPH) et taux d'invalidité (CPAM) pour faire entrer un maximum de personnes dans le RUA 		 Score: 0.4705
1000  A TOUS TOUTE LA VIE 		 pour tous 		 Score: 0.4705
ouvert à tous dès 18 ans 		 Ne pas oublier les jeunes et les étudiants ! 		 Score: 0.4705
Liberté 		 Pour tous, sans conditions. 		 Score: 0.4705
A qui le RUA doit-il s'adresser ? 		 AUX TITULAIRES D'UNE RQTH (Reconnaissance en Qualité de Travailleur Handicapé) NE BÉNÉFICIANT PAS DE L'AAH 		 Score: 0.4705
Revenu pour tous dès la majorité 		 ceux 		 Score: 0.4705
On ne veut plus assister les fainéants 		 A tout majeur et mineur émancipé 		 Score: 0.4705
Objectif 0 jeune sans ressource et sans accompagnement 		 intégrer la personne handicapée et seulement ses revenus 		 Score: 0.4705
Le RU en lieu et place de toutes les autres allocations 		 condition pour toucher le RUA 		 Score: 0.4705
Exclure l'Allocation pour Adulte Handicapé(e) du Revenu Universel d'Activité. 		 revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 Score: 0.4704
Quel critère de citoyenneté pour bénéficier du RUA 		 Préférennce 		 Score: 0.4704
Travailleurs pauvre 		 pour tous en fonction des revenus 		 Score: 0.4704
trop de personnes fragilisées 		 A tous (sinon il n'est pas universel) 		 Score: 0.4704
Population concernée 		 L'intégration de nouveaux publics implique une augmentation des dépenses sociales 		 Score: 0.4704
Dés 16 ans en fonction de certain critères d 'éligibilité 		 Taux progressif pour les mineurs 		 Score: 0.4704
A toutes les personnes qui s'engage à faire évoluer la société dans le bon sens en consacrant 5 heures de leur temps toutes les semaines à la faire évoluer. 		 Personnes malades, retraités, stagiaires, salariés les plus pauvres 		 Score: 0.4704
Le RUA pour tous de la naissance jusqu'au décès. 		 A toute personne sans revenus 		 Score: 0.4704
Le RUA pour tous de la naissance jusqu'au décès. 		 A toute personne sans revenus 		 Score: 0.4704
droits et devoirs 		 Pour qui le RUA 		 Score: 0.4704
A toutes les personnes qui s'engage à faire évoluer la société dans le bon sens en consacrant 5 heures de leur temps toutes les semaines à la faire évoluer. 		 A toute personne sans revenus 		 Score: 0.4704
A toutes les personnes qui s'engage à faire évoluer la société dans le bon sens en consacrant 5 heures de leur temps toutes les semaines à la faire évoluer. 		 A toute personne sans revenus 		 Score: 0.4704
Objectif 0 jeune sans ressource et sans accompagnement 		 A tous quand on montre une motivation à sen sortir 		 Score: 0.4704
Universel . 		 Pour tous 		 Score: 0.4704
Universel . 		 Pour tous 		 Score: 0.4704
Universel . 		 Pour tous 		 Score: 0.4704
Universel . 		 Pour tous 		 Score: 0.4704
Universel . 		 Pour tous 		 Score: 0.4704
d'une ouverture de droit simple (un seul et unique intervenant), Indexé a minima sur l'inflation, mensualisé 		 A tous, sous condition de revenus 		 Score: 0.4704
revenu universel de solidarité et non pas d'activité ! 		 le revenu de développement 		 Score: 0.4704
AUX FRANCAIS 		 Arrêt des aides, oui à un revenu universel à tous les français. 		 Score: 0.4704
A tous . 		 qui est concerné ? 		 Score: 0.4703
Tous selon ressources et individuellement 		 garanti de la naion 		 Score: 0.4703
Et les étudiants 		 Les aidants 		 Score: 0.4703
Par expérience lors de l'augmentation de l'aah le gouvernement en a profité pour supprimer le complément de ressources une aide prévu e pour les plus lourdement handicapés en la remplaçant par une aide inférieure sous conditions de toucher l'apl 		 Ancien bénéficiaires de la prime à l 'emploi 		 Score: 0.4703
Chaque personne en situation de fragilité sociale et économique, dès 18 ans 		 Justifier d'un besoin et d'une capacité à recevoir le RUA 		 Score: 0.4703
Ni lAAH, ni lallocation de solidarité aux personnes âgées 		 Exclure du RUA toutes les personnes handicapées bénéficiaires de l'AAH qui par définition ont une Restriction Substantielle et Durable à lEmploi (RSDAE) 		 Score: 0.4703
RUA à la place de deduction de l'ISF 		 tout majeur en dessous de ce RUA 		 Score: 0.4703
"Dans RUA, il y a ""universel""" 		 Un revenu Universel pour tous 		 Score: 0.4703
RUA à la place de deduction de l'ISF 		 RU pour qui 		 Score: 0.4703
Mères isolées et familles nombreuses 		 à personnes oui à la complexité des individus et de leurs situations 		 Score: 0.4703
inclure les étudiants 		 contrepartie du RUA 		 Score: 0.4703
renversons la table!! 		 A toutes &amp 		 Score: 0.4703
Ouvrir le RUA aux jeunes avec un projet de création dentreprise viable 		 Ne pas oublier les jeunes et les étudiants ! 		 Score: 0.4703
Des allocations avec des objectifs différents 		 les bénéficiaires du RSA 		 Score: 0.4702
Le RUA ne doit pas s'appliquer aux bénéficiaires de l'AAH 		 NON À L INCLUSION DE L'AAH DANS LE FUTUR RUA 		 Score: 0.4702
Égalité des droits lors de Garde Alternée des enfants 		 Pour tous individuellement, imposé 		 Score: 0.4702
REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4702
REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4702
1 parent ayant un enfant handicapé à charge 		 Tous les pauvres sauf les personnes handicapées 		 Score: 0.4702
A quels publics... 		 inclure les étudiants 		 Score: 0.4702
non à l'intégration de l'AAH dans le RUA 		 Alerte senior et RUA 		 Score: 0.4702
Pas d' RUA pour remplacer   l 'AAH du handicap psychique 		 vrai statut de l'aidant, hors allocations 		 Score: 0.4702
d'une ouverture de droit simple (un seul et unique intervenant), Indexé a minima sur l'inflation, mensualisé 		 Dissocier le montant de certaines APL 		 Score: 0.4702
Pour tous, à partir de la majorité. 		 Liberté Egalité Fraternité 		 Score: 0.4702
Universel ou PAS ? 		 Un revenu universel pour chacun(e) 		 Score: 0.4701
A qui s adresse le rua 		 Qui peut prétendre au Revenu Universel d'Activité 		 Score: 0.4701
Pour les parents instructeurs 		 Le RUA doit s'adresser à tout adulte majeur ! 		 Score: 0.4701
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 Toutes les personnes en âge de travailler et sans emploi 		 Score: 0.4701
LES BENEVOLES ASSOCIATIFS exerçant des RESPONSABILITES dans le secteur SOCIAL et SOLIDAIRE. 		 pour tous mais sous conditions 		 Score: 0.4701
pas AAH 		 A tous . 		 Score: 0.4701
A quels publics... 		 À tous 		 Score: 0.4701
A quels publics... 		 À tous 		 Score: 0.4701
Revenu Universel = Toute personne de plus de 18 ans 		 Revenu pour tous dès la majorité 		 Score: 0.4701
Intégration de l'aah dans le RUA 		 Le RUA ne doit pas s'appliquer aux bénéficiaires de l'AAH 		 Score: 0.4701
"Privilégier les personnes de plus de 50 ans en recherche d'emploi et jugées ""trop agées"" notemment les femmes" 		 pour tous en fonction des revenus 		 Score: 0.4701
a verser selon un plafond de ressources 		 Guichet Unique de Prestations Sociales 		 Score: 0.4700
a verser selon un plafond de ressources 		 Guichet Unique de Prestations Sociales 		 Score: 0.4700
Le revenu universel doit être attribué dès 18 ans 		 Un revenu d'existence pour tous les Français 		 Score: 0.4700
A qui le Rua doit-il s'adresser 		 TUA pour tous 		 Score: 0.4700
équivoque 		 A TOUS LES PAUVRES 		 Score: 0.4700
A toute personne majeure sans revenu et sans patrimoine, sans condition d'âge. 		 le seuil de pauvreté 		 Score: 0.4700
Liberté Egalité Fraternité 		 A tous sans exception 		 Score: 0.4700
Liberté Egalité Fraternité 		 Universel signifie pour tous ! 		 Score: 0.4700
Faire comme la prime activité  avec les même plafond resources 		 A qui doit s'adresser le revenu universel 		 Score: 0.4700
Universel . 		 TUA pour tous 		 Score: 0.4700
Les travailleurs pauvres 		 Un revenu qui s'adapte aux allocataires 		 Score: 0.4700
Elargir le RUA aux étrangers en situation régulière depuis moins de 5 ans 		 A qui doit s'adresser le RUA: universel donc... 		 Score: 0.4700
Les pauvres... 		 A toutes personnes subissant un changement de situation non souhaité 		 Score: 0.4700
d'une ouverture de droit simple (un seul et unique intervenant), Indexé a minima sur l'inflation, mensualisé 		 un revenu universel 		 Score: 0.4700
Toutes les personnes bénéficient de l'aide social. 		 A tout adulte en dessous du seuil de pauvreté. 		 Score: 0.4700
étudiants et inactifs élevant leurs enfants 		 A toutes les personnes qui s'engage à faire évoluer la société dans le bon sens en consacrant 5 heures de leur temps toutes les semaines à la faire évoluer. 		 Score: 0.4700
2 catégories de RU : les non employables et les employables 		 Arrêter d aider les gens qui peuvent  travailler sans rien demander en retour 		 Score: 0.4699
A TOUT LE MONDE 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4699
A TOUT LE MONDE 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4699
Revenu d activite 		 Faire comme la prime activité  avec les même plafond resources 		 Score: 0.4699
Des allocations avec des objectifs différents 		 L'intégration de nouveaux publics implique une augmentation des dépenses sociales 		 Score: 0.4699
L'AAH sans prendre en compte le revenu du conjoint 		 Les personnes âgées en situation de pauvreté 		 Score: 0.4699
A toutes les personnes  ayant des revenus inférieurs à 800 euros/mois 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.4699
Personne handicapée 		 Pour tous individuellement, imposé 		 Score: 0.4699
Un revenu d'existence pour tous les Français 		 A tous ceux qui sont en précarité, pauvreté 		 Score: 0.4699
revenu universel de solidarité et non pas d'activité ! 		 INNOVER pour une SOCIETE PLUS INCLUSIVE et moins DISCRIMINATOIRE : LES AIDANTS et ACCUEILLANTS FAMILIAUX. 		 Score: 0.4699
Un « REvenu de VOcation CItoyens » (REVOCI / « Rêve aussi » !...) POUR TOU-TE-S,  plutôt que le RUA,  pour réinventer/(ré)enchanter le Travail, notre Société et nos vies... 		 REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 Score: 0.4699
"Évitons de polluer le débat public ! Les mots ont un sens: ""Universel"" veut dire ""Qui s'applique à tous les cas"" !" 		 La contribution pour tous 		 Score: 0.4699
pas AAH 		 À tout le monde 		 Score: 0.4699
un revenu universel et franco-français 		 Aux personnes avec un solde de revenus inférieur à un certain niveau 		 Score: 0.4699
droit pour toute personne ayant une retraite inférieur a 1500 euros 		 À tout le monde, vivant sur le territoire Français et remplissant une feuille d'impôt et n'atteignant pas un certain plafond ! 		 Score: 0.4699
Revenu  décent pour personnes âgées 		 AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 Score: 0.4699
Les travailleurs pauvres 		 A toutes les personnes en situation difficile temporaire ou permanente 		 Score: 0.4699
Des aides, oui, mais... 		 A toute personne pour aider à atteindre un revenu décent 		 Score: 0.4698
On ne veut plus assister les fainéants 		 a tout le monde 		 Score: 0.4698
Faire comme la prime activité  avec les même plafond resources 		 Justifier d'un besoin et d'une capacité à recevoir le RUA 		 Score: 0.4698
Tous selon ressources et individuellement 		 Pour tout ceux en situation de pauvreté 		 Score: 0.4698
Intégrer Allocation de solidarité spécifique (ASS) dans le revenu universel d'activité ? 		 Prime d'activité pour l'ensembles des personnes en invalidité (sous conditions de ressources) 		 Score: 0.4698
Uniquement aux personnes seules sans enfants car elles ne cumulent pas les aides 		 le seuil de pauvreté 		 Score: 0.4698
Conditions 		 A Tous 		 Score: 0.4698
obligation pour le bénéficiaire de vivre en france et de vouloir y rester 		 A tous les citoyens, sous condition de ressources uniquement 		 Score: 0.4698
Le RU en lieu et place de toutes les autres allocations 		 Réservé aux seuls nationaux 		 Score: 0.4698
Les jeunes en situation de pauvreté 		 Aux artistes plasticiens qui n'ont aucune protection sociale 		 Score: 0.4698
Le parent qui est contraint d'arrêter de travailler pour s'occuper de son enfant en situation de handicap 		 Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 Score: 0.4698
Un revenu universel proche du SMIC 		 AAH et revnu universel 		 Score: 0.4697
Les allocataires de l'ASS 		 le revenu de développement 		 Score: 0.4697
Aux jeunes placés et sortant du service de l'Aide Sociale à l'Enfance (sous conditions) 		 a qui verser l'aide 		 Score: 0.4697
Comme pour le chomage 		 A tous ou à personne 		 Score: 0.4697
les personnes en burn out au travail 		 A tous, dès que la personne n'atteint pas un revenu suffisant pour vivre dignement 		 Score: 0.4697
Instituer un plafond de patrimoine 		 Individualiser le RUA plutôt que de l'accorder à un foyer 		 Score: 0.4697
éviter les effets de seuil et de dents de scie 		 garanti de la naion 		 Score: 0.4697
Des droits équitables pour les parents divorcés ou séparés 		 Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 Score: 0.4697
RUA à la place de deduction de l'ISF 		 revenu universel d'activite 		 Score: 0.4697
Prime d'activité pour l'ensembles des personnes en invalidité (sous conditions de ressources) 		 A tout les citoyens en fonction des ressources / patrimoine 		 Score: 0.4697
Etudiants en situation de Handicap reconnus de 50% et 79% 		 Les jeunes et les stages 		 Score: 0.4697
Ouvrir le Revenu Universel d'Activité à un public plus large sans pour autant léser le public actuel du RSA 		 Universelle 		 Score: 0.4697
Reconnaitre les aidants pour mieux respecter nos anciens 		 Des aides, oui, mais... 		 Score: 0.4697
à personnes oui à la complexité des individus et de leurs situations 		 A qui doit s'adresser le RUA: universel donc... 		 Score: 0.4696
Universel sous conditions ? 		 A tout majeur et mineur émancipé 		 Score: 0.4696
Le revenu universel doit être attribué dès 18 ans 		 dissocier AAH par rapport aux autres revenus 		 Score: 0.4696
Réservé aux seuls nationaux 		 NON À L INCLUSION DE L'AAH DANS LE FUTUR RUA 		 Score: 0.4696
"Dans RUA, il y a ""universel""" 		 NON AU RUA OUI POUR UNE AIDES AU TRAVAILLEURS PAUVRES 		 Score: 0.4696
Pas de RUA pour les gens en indélicatesses avec la justice le civisme ... 		 NON À L INCLUSION DE L'AAH DANS LE FUTUR RUA 		 Score: 0.4696
A tous les citoyens français 		 Pour tous 		 Score: 0.4696
A tous les citoyens français 		 Pour tous 		 Score: 0.4696
A tous les citoyens français 		 Pour tous 		 Score: 0.4696
A tous les citoyens français 		 Pour tous 		 Score: 0.4696
A tous les citoyens français 		 Pour tous 		 Score: 0.4696
A toutes les personnes  ayant des revenus inférieurs à 800 euros/mois 		 Aux chômeurs en fin de droits (ASS) 		 Score: 0.4696
"RUA : aux personnes dites ""précaires"". AAH (+ éventuellement CR) : à maintenir absolument aux personnes invalides "" concernées !!!" 		 Jeunes, étudiants, handicapés, personnes agées 		 Score: 0.4696
Mais qui va payer ? 		 beneficiaires 		 Score: 0.4695
"Dans RUA, il y a ""universel""" 		 RUA POUR TOUS 		 Score: 0.4695
"Dans RUA, il y a ""universel""" 		 RUA POUR TOUS 		 Score: 0.4695
étudiants et inactifs élevant leurs enfants 		 emploi ou RUA 		 Score: 0.4695
Uniquement aux personnes seules sans enfants car elles ne cumulent pas les aides 		 L'allocation d'Adulte Handicapé, l'APL et toutes les aides concernant le handicap ne doit pas être inclusent dans le Revenu Universel d'Activité 		 Score: 0.4695
Universel ET Solidaire 		 Revenu Universel = Toute personne de plus de 18 ans 		 Score: 0.4695
Non à la révision intempestive des taux d'incapacité (MDPH) et taux d'invalidité (CPAM) pour faire entrer un maximum de personnes dans le RUA 		 Situation de précarité 		 Score: 0.4695
Un revenu universel proche du SMIC 		 La contribution pour tous 		 Score: 0.4695
"RUA : aux personnes dites ""précaires"". AAH (+ éventuellement CR) : à maintenir absolument aux personnes invalides "" concernées !!!" 		 La considération du handicap avec un taux inférieur à 80% 		 Score: 0.4695
pas de RUA pour les étrangers ... 		 Ayant droits 		 Score: 0.4695
étudiants et inactifs élevant leurs enfants 		 A tous quand on montre une motivation à sen sortir 		 Score: 0.4695
Les pauvres... 		 Aux personnes qui se donnent la peine de  chercher du travail 		 Score: 0.4695
Reconnaitre les aidants pour mieux respecter nos anciens 		 des aides oui mais ..... 		 Score: 0.4695
Revenu  décent pour personnes âgées 		 A toute personne majeure sans revenu et sans patrimoine, sans condition d'âge. 		 Score: 0.4695
Prise en compte individuelle des ressources financières 		 A tous les citoyens, sous condition de ressources uniquement 		 Score: 0.4695
Libérez les TANGUY : + impôt - APL les calculs sont pas bon! 		 Mais qui va payer ? 		 Score: 0.4694
trop de personnes fragilisées 		 INCITER A LA REPRISE DE TRAVAIL 		 Score: 0.4694
L'aah doit continuer d'exister distinctement. 		 Inclure l'ASS au RUA 		 Score: 0.4694
Aux personnes qui se donnent la peine de  chercher du travail 		 NON à la question concernant Les personnes handicapées en situation de pauvreté 		 Score: 0.4694
ÉGALITÉ POUR TOUS DES 18ANS 		 REVENU UNIVERSEL 		 Score: 0.4694
Solidarité bien ordonnée 		 S'adresser à tous mais avec une contrepartie. 		 Score: 0.4694
Les études sont une activité à plein temps 		 les jeunes finissant leurs études 		 Score: 0.4694
AIDE RETOUR A L'EMPLOI 		 A tous, sous condition de revenus 		 Score: 0.4694
Un « REvenu de VOcation CItoyens » (REVOCI / « Rêve aussi » !...) POUR TOU-TE-S,  plutôt que le RUA,  pour réinventer/(ré)enchanter le Travail, notre Société et nos vies... 		 Revenu universel pour tous sans condition 		 Score: 0.4694
Équité 		 Aux Français 		 Score: 0.4694
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 A tous sans exception 		 Score: 0.4693
Ne pas faire de Rua pour les handicapés psychiques 		 Pour les handicapés simplification des démarches administratives 		 Score: 0.4693
il faut distinguer les personnes contraintes par la maladie ou le Handicap  des autres situations 		 Aux chômeurs en fin de droits (ASS) 		 Score: 0.4693
Pour aider les actifs en contrat précaire. 		 Une autre vision du revenu d'activité 		 Score: 0.4693
a verser selon un plafond de ressources 		 Aux personnes avec un solde de revenus inférieur à un certain niveau 		 Score: 0.4693
Le revenu universel doit être attribué dès 18 ans 		 revenu universel de solidarité et non pas d'activité ! 		 Score: 0.4693
A toute personne majeure sans revenu et sans patrimoine, sans condition d'âge. 		 Aux personnes qui se donnent la peine de  chercher du travail 		 Score: 0.4693
non à l'intégration de l'AAH dans le RUA 		 Les allocataires de l'ASS 		 Score: 0.4693
Priorité aux demandeurs d'emploi et retraités 		 Aux jeunes placés et sortant du service de l'Aide Sociale à l'Enfance (sous conditions) 		 Score: 0.4692
Liste des personnes qui devraient le percevoir : 		 A tout les citoyens en fonction des ressources / patrimoine 		 Score: 0.4692
Pas de RUA pour les gens en indélicatesses avec la justice le civisme ... 		 Taux progressif pour les mineurs 		 Score: 0.4692
Égalité des droits lors de Garde Alternée des enfants 		 A tout le monde dès la naissance 		 Score: 0.4692
Monoparental et étudiants 		 Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 Score: 0.4692
Exclure l'AAH du RUA 		 REVENU UNIVERSEL DE BASE 		 Score: 0.4692
Pour les parents instructeurs 		 A tout adulte en dessous du seuil de pauvreté. 		 Score: 0.4692
Aux artistes plasticiens qui n'ont aucune protection sociale 		 Les jeunes de moins de18 à 25 ans sans revenu 		 Score: 0.4692
Refus intégration AAH et de l'APL et RSA dans le RUA + Minimum à garantir 		 pas AAH 		 Score: 0.4691
universalité du RU en financant celui-ci par les dividendes 		 Universel ? Donc pour tous 		 Score: 0.4691
L'allocation d'Adulte Handicapé, l'APL et toutes les aides concernant le handicap ne doit pas être inclusent dans le Revenu Universel d'Activité 		 l'AAH ne doit pas devenir RUA 		 Score: 0.4691
AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 Un revenu non universel et non lié à l'activité. 		 Score: 0.4691
Un revenu d'existence pour tous les Français 		 dissocier AAH par rapport aux autres revenus 		 Score: 0.4691
Quel critère de citoyenneté pour bénéficier du RUA 		 Raisonner par statut et par tranche d'age 		 Score: 0.4691
A qui le RUA s' adresse t il ? 		 Ne pas faire de Rua pour les handicapés psychiques 		 Score: 0.4691
Ne pas oublier les jeunes et les étudiants ! 		 RUA POUR TOUS 		 Score: 0.4691
Ne pas oublier les jeunes et les étudiants ! 		 RUA POUR TOUS 		 Score: 0.4691
le quart le plus pauvre des plus de 16 ans, tout simplement 		 A tous, sous condition de revenus 		 Score: 0.4691
Scandaleux 		 A Tous 		 Score: 0.4691
Les jeunes en situation de pauvreté 		 Bonification des personnes célibataires 		 Score: 0.4691
A toutes les personnes  ayant des revenus inférieurs à 800 euros/mois 		 Pourquoi fusionne le revenu universel et L'Aah 		 Score: 0.4691
L'AAH sans prendre en compte le revenu du conjoint 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.4691
ÉGALITÉ POUR TOUS DES 18ANS 		 A Tous 		 Score: 0.4691
Arrêter l'énorme surcoût bureaucratique visant à grapiller sur les non-bénéficiaires 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.4691
Des droits équitables pour les parents divorcés ou séparés 		 vrai statut de l'aidant, hors allocations 		 Score: 0.4691
DESTINATAIRES 		 TUA pour tous 		 Score: 0.4691
Limites 		 RUA au Prorata avec plafond de revenus 		 Score: 0.4691
les personnes en burn out au travail 		 Aux personnes avec un solde de revenus inférieur à un certain niveau 		 Score: 0.4691
Le RUA doit s'adresser à tout adulte majeur ! 		 Non à la révision intempestive des taux d'incapacité (MDPH) et taux d'invalidité (CPAM) pour faire entrer un maximum de personnes dans le RUA 		 Score: 0.4690
Un « REvenu de VOcation CItoyens » (REVOCI / « Rêve aussi » !...) POUR TOU-TE-S,  plutôt que le RUA,  pour réinventer/(ré)enchanter le Travail, notre Société et nos vies... 		 a qui le revenu universel doit s adresser 		 Score: 0.4690
etudes supérieures gratuites 		 Qui peut prétendre au Revenu Universel d'Activité 		 Score: 0.4690
Revenu  décent pour personnes âgées 		 Revenu universel pour TOUS 		 Score: 0.4690
Libérez les TANGUY : + impôt - APL les calculs sont pas bon! 		 "Ouvrir les yeux sur les ""vrais revenus"" pris en compte pour une ouverture de droits" 		 Score: 0.4690
Pour tous, à partir de la majorité. 		 AAH et revnu universel 		 Score: 0.4690
Ouvrir le Revenu Universel d'Activité à un public plus large sans pour autant léser le public actuel du RSA 		 Un revenu Universel pour tous 		 Score: 0.4690
Ne pas oublier les jeunes et les étudiants ! 		 S'adresser à tous mais avec une contrepartie. 		 Score: 0.4690
LES BENEVOLES ASSOCIATIFS exerçant des RESPONSABILITES dans le secteur SOCIAL et SOLIDAIRE. 		 Prime d'activité pour l'ensembles des personnes en invalidité (sous conditions de ressources) 		 Score: 0.4690
Prime temporaire 		 Aux chômeurs en fin de droits (ASS) 		 Score: 0.4690
Arrêter l'énorme surcoût bureaucratique visant à grapiller sur les non-bénéficiaires 		 Il doit venir en complément du chômage 		 Score: 0.4690
A Tous dès la naissance et toute la vie 		 Pour tout ceux en situation de pauvreté 		 Score: 0.4690
Chaque personne en situation de fragilité sociale et économique, dès 18 ans 		 inclure les étudiants 		 Score: 0.4690
L'AAH ne doit pas être incluse dans le RUA. 		 Exclure l'Allocation pour Adulte Handicapé(e) du Revenu Universel d'Activité. 		 Score: 0.4690
condition pour toucher le RUA 		 Limites 		 Score: 0.4689
Comme pour le chomage 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4689
Comme pour le chomage 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 0.4689
AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 Score: 0.4689
Aide aux foyers uni-parentaux 		 Les aidants 		 Score: 0.4689
NON aux personnes handicapées 		 Raisonner par statut et par tranche d'age 		 Score: 0.4689
trop de personnes fragilisées 		 La contribution pour tous 		 Score: 0.4689
Priorité aux demandeurs d'emploi et retraités 		 Quel critère de citoyenneté pour bénéficier du RUA 		 Score: 0.4689
A cumuler avec allocations familiales 		 Raisonner par statut et par tranche d'age 		 Score: 0.4688
On ne veut plus assister les fainéants 		 renversons la table!! 		 Score: 0.4688
Prime temporaire 		 Attention à l'amalgame 		 Score: 0.4688
universalité du RU en financant celui-ci par les dividendes 		 vrai statut de l'aidant, hors allocations 		 Score: 0.4688
Kalissy06 		 DESTINATAIRES 		 Score: 0.4688
Liberté 		 RUA Personnes agées 		 Score: 0.4688
A toutes les personnes  ayant des revenus inférieurs à 800 euros/mois 		 A toute personne majeure sans revenu et sans patrimoine, sans condition d'âge. 		 Score: 0.4688
Les travailleurs pauvres 		 "Rendre universel ""le revenu universel (d'activité)""" 		 Score: 0.4688
Ne pas faire de Rua pour les handicapés psychiques 		 Jeunes, handicapes, familles pauvres avec enfants 		 Score: 0.4688
Non à la révision intempestive des taux d'incapacité (MDPH) et taux d'invalidité (CPAM) pour faire entrer un maximum de personnes dans le RUA 		 Jeunes, étudiants, handicapés, personnes agées 		 Score: 0.4688
"Dans RUA, il y a ""universel""" 		 A tous sans exception 		 Score: 0.4688
Les personnes bénéficiaires de L'AAH ne devraient pas être concernées 		 Ne pas faire de Rua pour les handicapés psychiques 		 Score: 0.4688
Instituer un plafond de patrimoine 		 Créer un revenu pour que chaque être humain puisse vivre dignement 		 Score: 0.4688
A tous quand on montre une motivation à sen sortir 		 Pour tout ceux en situation de pauvreté 		 Score: 0.4688
Le RUA doit s'adresser à tout adulte majeur ! 		 condition pour toucher le RUA 		 Score: 0.4688
le revenu de développement 		 Faire comme la prime activité  avec les même plafond resources 		 Score: 0.4688
